region;country;zone;lat;lon;url;ref
europe;croatia;dubrovnik port of gruz;42.6596577;18.0852633;*;*
europe;montenegro;brijeg border checkpoint;42.4810268;18.4558242;*;*
europe;italy;trevignano romano lake bracciano;42.1598609;12.2394156;*;*
europe;united kingdom;armathwaite hall bassenthwaite lake;54.6809682;-3.2324974;*;*
europe;spain;albarracin plaza mayor;40.4076641;-1.443342;*;*
europe;germany;gehlberg thuringian forest;50.680481;10.7780365;*;*
europe;spain;malaga alameda principal and the calle marques de larios;40.525282;-3.8160296;*;*
europe;italy;opi central apennines;42.8116518;13.3727902;*;*
europe;italy;otranto alimini beach;40.2008354;18.459435;*;*
europe;france;le lavandou plage de la fossette;43.1460356;6.3976773;*;*
europe;belgium;scherpenheuvel basilica;50.9802472;4.9781861;*;*
europe;spain;castropol penarronda beach;43.5536399;-6.9968328;*;*
europe;belgium;spa spa la sauveniere airport;50.47783;5.9099163;*;*
europe;iceland;patreksfjordur harbour;65.5953133;-23.992231;*;*
europe;russia;khabarovsk glory square;48.4665718;135.0663605;*;*
europe;ireland;wexford bride street church rowe street church;52.33656;-6.4627907;*;*
europe;germany;norderney beach;53.6710838;7.2134448;*;*
europe;italy;punta ala golf club punta ala;42.8035329;10.7692951;*;*
europe;italy;malcesine lake garda;45.7596313;10.8061922;*;*
europe;netherlands;lelystad markermeer;52.5386041;5.4321539;*;*
europe;spain;barcelona base nautica;41.3967421;2.2097948;*;*
europe;france;anglet beaches;43.476219;-1.5646928;*;*
europe;spain;gudar panoramic view;40.4422713;-0.72377;*;*
europe;italy;portofino baia cannone;44.3050935;9.2118571;*;*
europe;italy;massa lubrense capri island gulf of naples;40.5820793;14.2947122;*;*
europe;croatia;kastel gomilica marina giricic;43.5471247;16.4031836;*;*
europe;italy;sanremo porto vecchio;43.8155012;7.7783687;*;*
europe;russia;novosibirsk several views;54.9989221;82.949405;*;*
europe;united kingdom;leatherhead wildlife aid centre;51.303148;-0.345791;*;*
europe;netherlands;alkmaar de meent bauerfeind;52.6332307;4.713592;*;*
europe;slovakia;strbske pleso strba;49.085987;20.105234;*;*
europe;croatia;svetvincenat gradski trg;45.0885032;13.8822746;*;*
europe;croatia;zadar narodni trg;44.1142376;15.2275436;*;*
europe;denmark;hvide sande;55.9387343;8.1466479;*;*
europe;france;labastide darmagnac place royale;43.9700212;-0.1855514;*;*
europe;romania;dolhasca panoramic view;46.34413;26.3146231;*;*
europe;italy;sardinia stintino ezzi mannu beach;40.8780095;8.2641917;*;*
europe;ukraine;verkhnii studeny ski resort;40.525282;-3.8160297;*;*
europe;germany;sylt list harbour;55.0235689;8.4080757;*;*
europe;italy;verona juliets house;45.4674324;11.0047033;*;*
europe;croatia;peljesac viganj antony boy autocamp;42.9786876;17.1094527;*;*
europe;norway;drammen ski centre;59.762644;10.125132;*;*
europe;italy;lizzano in belvedere corno alle scale;44.1250573;10.8306581;*;*
europe;spain;aguilas marina;35.67445;-6.8143;*;*
europe;norway;alta kaiskuru ski resort;69.955304;23.3727875;*;*
europe;belgium;brussels cathedral peregrine falcon;50.8479083;4.3601497;*;*
europe;italy;palermo mondello beach;38.2016243;13.3306177;*;*
europe;czech republic;bila ski resort;49.4428262;18.4578246;*;*
europe;italy;watles rifugio plantapatsch;46.7075209;10.4923338;*;*
europe;italy;fiumicino fregene;41.7872566;12.2435648;*;*
europe;slovenia;medvode zbiljsko lake;46.1555577;14.4205334;*;*
europe;croatia;porec la mula;45.2274497;13.5958838;*;*
europe;spain;girona railway station;41.9793477;2.8169214;*;*
europe;greece;tsagkarada pelion mountains;39.40847;23.1029295;*;*
europe;russia;sochi collection of webcams;43.533829;39.8168995;*;*
europe;russia;bratsk traffic;56.2233785;101.6758284;*;*
europe;montenegro;sutorina border crossing;42.4923405;18.4782879;*;*
europe;united kingdom;st ives harbour beach;50.2151481;-5.4804704;*;*
europe;italy;porto santo stefano bay view;42.4448893;11.1463019;*;*
europe;ukraine;ternopil church of our lady of perpetual help;49.3015605;25.53795;*;*
